Sample,,,,,,C37:3 Results,,,C37:2 Results,,,GDGT-1a Results,,,GDGT-0 Results,,,GDGT-1b Results,,,GDGT-1c Results,,,GDGT-1 Results,,,GDGT-2a Results,,,GDGt-3a Results,,,GDGT-2b Results,,,GDGT-2 Results,,,GDGT-3b Results,,,GDGT-3 Results,,,Cren Results,,,GDGT-4 Results,,,Cren-regioisomer Results,,
,,Name,Data File,Type,Acq. Date-Time,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area
,!,CM S113_2%_TLE-TE,20220429a_014.d,Sample,5/2/2022 12:12 PM,2.884,430.50,894985,2.743,876.84,758858,19.062,1.10,59699,19.062,389903.22,15935544,19.292,0.32,27608,19.490,8,113627,19.622,8,2087485,19.605,0.69,19148,20.297,0.51,3619,19.935,0.31,3280,20.281,8,1776058,20.676,8,20014,20.857,8,154703,21.697,89869.61,14451487,21.582,144.30,208251,22.076,1466.52,374529
,,blank,20220429a_015.d,Sample,5/2/2022 1:20 PM,3.008,0.53,787,3.339,1.04,500,19.622,10.22,442,19.095,14.18,786,19.622,10.20,440,19.622,9.51,436,19.622,9.96,436,20.281,4.25,443,20.610,1.67,62,20.281,4.16,402,20.281,4.25,443,20.610,1.56,63,21.318,1.13,37,21.697,165.75,12394,21.681,7.66,474,21.697,165.84,12410
!,!,blank,20220707a_001.d,Sample,7/7/2022 4:59 PM,,,,,,,19.060,0.64,14,19.241,0.73,33,19.340,0.25,14,19.455,0.29,13,19.455,0.23,13,20.032,0.78,34,20.295,0.39,9,20.032,1.38,33,20.345,0.76,38,20.806,0.50,21,21.251,0.47,28,21.284,0.83,184,21.745,0.62,57,21.794,0.50,69
,!,CM_F8.5_QQQ_Drift_v210227,20220707a_002.d,Sample,7/7/2022 6:09 PM,3.306,2.36,7567,3.653,1080.83,488245,18.222,11.32,60214,18.238,11163.38,24351108,18.502,3.90,35092,18.485,8,109681,18.732,8,2580576,18.732,0.76,22854,20.511,128.83,1531025,20.379,8.03,83145,19.309,89.88,1462880,19.688,39.13,78337,19.803,8,489140,20.511,10984.85,38361487,21.911,3.57,5769,20.874,0.01,801938
,!,C37:2_C37:3_std_113-10_1000ul-99:1_hex:IPA,20220707a_003.d,Sample,7/7/2022 7:17 PM,3.783,15337.49,49778132,3.484,43869.90,66358663,18.732,75.96,3474,18.271,1170.32,71826,19.325,5.28,323,19.325,4.21,334,19.325,4.20,333,19.342,53.23,2977,20.561,28.48,2134,19.342,44.95,2974,19.342,53.21,2975,20.561,28.48,2134,20.561,28.93,2131,20.561,1746.96,192936,22.158,2.68,163,20.758,14.08,1191
,!,blank,20220707a_004.d,Sample,7/7/2022 8:26 PM,3.157,0.58,1982,3.347,0.87,1000,18.601,76.00,3044,18.172,159.10,6757,18.601,78.10,2924,18.601,72.03,3054,18.601,75.94,3037,20.165,0.50,29,20.429,0.76,93,20.165,0.76,29,20.330,0.50,55,20.429,1.16,131,20.429,0.89,117,20.511,193.81,21360,21.796,0.64,33,20.511,193.84,21367
,!,CM S100_1%_150ul_TLE-TE,20220707a_005.d,Sample,7/7/2022 9:35 PM,2.777,8,1715342,2.653,3806.74,1506193,18.551,3.06,119656,18.568,56102.77,32191867,18.765,0.05,7437,18.946,8,240224,19.062,144.45,4732184,19.408,0.57,42893,19.688,1.15,9905,19.523,30.17,194035,19.688,8,2680766,20.083,5.95,40557,20.215,25.76,286988,21.005,89733.31,30017063,20.989,8,10584788,21.368,0.02,913609
,!,CM S105_1%_150ul__TLE-TE,20220707a_006.d,Sample,7/7/2022 10:44 PM,2.867,269.62,588055,2.719,55.41,560504,18.683,3.90,39489,18.683,91023.15,10379046,18.979,,1686,19.095,8,69512,19.210,132.18,1408942,19.243,8,5838,20.099,0.38,156,19.671,591.41,74218,19.836,4371.57,706357,20.281,67.15,10774,20.363,369.95,82547,21.170,157222.83,9257386,21.038,15.67,71943,21.549,0.02,226515
,!,CM S112_1%_150ul_TLE-TE,20220707a_007.d,Sample,7/7/2022 11:52 PM,2.967,210.49,736001,2.810,1277.19,650481,18.749,1.14,50713,18.749,14796.75,13077648,18.979,0.32,32055,19.161,141.38,108157,19.276,140.51,1775784,19.276,8,17491,19.951,0.33,3081,19.556,8,11719,19.902,8,1494594,20.330,220.85,16154,20.445,1263.48,172602,21.252,179084.69,12306801,21.137,8,192501,21.615,0.02,303620
,!,blank,20220707a_008.d,Sample,7/8/2022 1:01 AM,3.041,1.02,3356,3.231,0.92,361,19.358,27.20,1306,18.765,23.34,3032,19.358,27.30,1224,19.358,14.30,1223,19.358,10.64,1223,20.034,0.81,43,20.495,0.92,59,20.034,1.18,73,20.445,2.14,289,20.808,1.85,319,21.236,1.37,77,21.302,335.19,11517,21.928,2.34,115,21.302,305.82,11517
,!,CM S111_1%_150ul_TLE-TE,20220707a_009.d,Sample,7/8/2022 2:10 AM,3.107,386.44,808182,2.925,1766.88,757627,18.831,1.55,58144,18.831,493.90,16240570,19.062,0.11,5927,19.259,1141.85,102193,19.375,19219.06,2389283,19.391,8,8239,20.347,0.72,3827,19.622,0.14,1427,20.017,8,1466223,20.462,64.88,9786,20.544,475.87,160539,21.368,252502.68,13978826,21.252,8,173244,21.747,0.02,355590
,!,CM S106_1%_150ul_TLE-TE,20220707a_010.d,Sample,7/8/2022 3:19 AM,3.223,336.38,846983,3.025,1649.37,728315,18.881,110.75,84681,18.881,8,16506630,19.177,48.90,24261,19.259,213.67,127397,19.424,6.12,2084045,19.786,0.84,21017,19.704,7.83,2911,19.902,110.77,103536,20.067,8,1142708,20.495,8.69,14557,20.610,48.98,125574,21.434,50105.04,14432302,21.302,138.90,153954,21.813,0.02,362840
,,blank,20220707a_011.d,Sample,7/8/2022 4:27 AM,2.934,0.42,1664,3.289,1.81,2132,18.584,1.16,153,18.897,109.94,6825,19.424,1.20,91,19.754,0.64,71,19.754,0.77,98,20.050,0.93,136,19.984,1.07,36,20.050,1.19,228,20.050,0.86,136,21.022,0.78,51,21.022,0.54,51,21.516,40.56,11509,21.516,31.62,2865,21.516,40.58,11525
!,!,Oropel  MS2 40-45 CL,20220707a_012.d,Sample,7/8/2022 5:34 AM,2.865,0.92,36404,3.529,1.51,8854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,blank,20220707a_014.d,Sample,7/8/2022 7:49 AM,2.975,2.09,4534,3.339,1.51,686,19.177,4.86,266,18.913,73.63,6124,19.177,3.34,489,19.770,0.58,38,19.770,0.57,37,19.951,1.31,49,20.379,1.75,683,19.951,1.19,50,20.281,0.77,43,20.775,1.08,196,21.351,0.97,36,22.060,0.85,147,21.730,0.82,51,22.060,0.85,147
