Sample,,,,,,C37:3 Results,,,C37:2 Results,,,GDGT-1a Results,,,GDGT-0 Results,,,GDGT-1b Results,,,GDGT-1 Results,,,GDGt-3a Results,,,GDGT-2a Results,,,GDGT-2 Results,,,GDGT-3b Results,,,GDGT-3 Results,,,GDGT-4 Results,,,Cren Results,,,Cren-regioisomer Results,,
,,Name,Data File,Type,Acq. Date-Time,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area
!,!,blank,20220707a_001.d,Sample,7/7/2022 4:59 PM,,,,,,,19.060,0.64,14,19.241,0.73,33,19.455,0.49,34,19.455,0.23,13,20.295,0.39,9,20.345,0.76,38,20.345,0.76,38,20.674,1.04,76,20.921,0.74,52,21.465,0.61,81,21.284,0.83,184,21.794,0.50,69
,!,CM_F8.5_QQQ_Drift_v210227,20220707a_002.d,Sample,7/7/2022 6:09 PM,3.306,2.36,7567,3.653,1080.83,488245,18.222,12.97,82884,18.238,11163.38,24351108,18.650,23.50,265294,19.309,8,773454,20.511,128.83,1531025,20.379,3.94,87321,19.803,10.41,155191,20.511,8,1536254,20.511,8,1547433,20.511,118.79,15433847,20.511,10985.32,38241815,20.511,8,37832206
,!,C37:2_C37:3_std_113-10_1000ul-99:1_hex:IPA,20220707a_003.d,Sample,7/7/2022 7:17 PM,3.783,15337.49,49778132,3.484,43869.90,66358663,18.732,75.96,3474,18.271,1170.32,71826,19.325,4.17,328,19.325,4.20,333,20.561,28.48,2134,19.342,53.21,2975,19.342,53.21,2975,20.561,28.94,2132,20.561,28.47,2132,20.544,8,77934,20.561,1746.96,192936,20.561,1746.96,192936
,!,blank,20220707a_004.d,Sample,7/7/2022 8:26 PM,3.157,0.58,1982,3.347,0.87,1000,18.601,76.00,3044,18.172,159.10,6757,18.601,75.88,3029,18.601,75.94,3037,20.429,0.76,93,20.330,0.50,55,20.330,0.50,55,20.429,0.90,131,20.429,0.90,130,20.462,43.31,5159,20.511,193.81,21360,20.511,193.84,21367
,!,CM S100_1%_150ul_TLE-TE,20220707a_005.d,Sample,7/7/2022 9:35 PM,2.777,8,1715342,2.768,384.32,155821,18.551,2.90,152979,18.568,56103.10,32192446,18.946,8,365732,19.062,8,4616868,19.688,1.18,9783,19.523,8,239088,19.688,8,2684806,20.083,6.07,43286,20.215,25.93,293872,20.742,1.89,54034,21.005,89779.42,30001777,21.368,0.02,892690
,!,CM S105_1%_150ul__TLE-TE,20220707a_006.d,Sample,7/7/2022 10:44 PM,2.867,269.62,588055,2.859,106.71,60344,18.683,3.38,38218,18.683,91080.77,10400355,19.095,8,71105,19.210,8,1409159,20.099,0.54,373,19.671,591.61,74266,19.836,4368.04,716521,20.231,8,8040,20.363,370.24,84809,21.022,12.89,63381,21.170,157223.83,9231338,21.549,0.02,275590
,!,CM S112_1%_150ul_TLE-TE,20220707a_007.d,Sample,7/7/2022 11:52 PM,2.967,210.49,736001,2.967,89.47,67124,18.749,1.22,60423,18.749,8,13073511,19.128,1.04,105454,19.276,1805.92,1805077,19.951,0.33,3120,19.276,8,17227,19.902,8,1494592,20.165,0.50,3030,20.445,1287.10,179711,21.104,12.36,131892,21.252,179257.99,12271526,21.615,0.02,305212
,!,blank,20220707a_008.d,Sample,7/8/2022 1:01 AM,3.041,1.02,3356,3.231,0.92,361,19.358,27.20,1306,18.765,23.34,3032,19.358,27.30,1224,19.358,10.64,1223,20.495,0.92,59,20.445,2.14,289,20.445,2.15,292,20.495,1.66,69,20.808,1.41,296,21.269,40.54,2271,21.302,335.19,11517,21.302,305.82,11517
,!,CM S111_1%_150ul_TLE-TE,20220707a_009.d,Sample,7/8/2022 2:10 AM,3.107,386.44,808182,3.107,174.05,84078,18.831,1.55,58248,18.831,330788.96,16213665,19.226,8,146600,19.375,19182.46,2376645,19.819,1.01,1917,19.918,8,311834,20.017,8,1168249,20.445,8,8121,20.544,481.30,162421,21.236,8,139992,21.368,252975.52,14003518,21.747,0.02,373888
,!,CM S106_1%_150ul_TLE-TE,20220707a_010.d,Sample,7/8/2022 3:19 AM,3.223,336.38,846983,3.223,150.03,70447,18.881,110.74,84641,18.881,8,16507496,19.259,135.04,129174,19.424,6.07,2019665,19.704,2.51,3138,19.902,8,101117,20.067,8,1166155,20.495,8.94,16102,20.610,48.10,121559,20.758,2.31,79897,21.434,50133.27,14387966,21.813,0.02,443638
,,blank,20220707a_011.d,Sample,7/8/2022 4:27 AM,2.934,0.42,1664,3.289,1.81,2132,18.584,1.16,153,18.897,109.94,6825,19.424,1.12,101,19.754,0.77,98,19.984,1.07,36,20.050,0.86,136,20.050,0.93,136,20.495,0.70,223,21.022,0.55,51,21.285,31.45,1393,21.516,40.56,11509,21.516,40.58,11525
!,!,Oropel  MS2 40-45 CL,20220707a_012.d,Sample,7/8/2022 5:34 AM,2.865,0.92,36404,3.529,1.51,8854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,blank,20220707a_014.d,Sample,7/8/2022 7:49 AM,2.975,2.09,4534,3.339,1.51,686,19.177,4.86,266,18.913,73.63,6124,19.177,4.55,509,19.770,0.57,37,20.379,1.75,683,20.281,0.77,43,20.281,0.77,43,20.775,1.06,192,20.775,2.12,196,21.467,2.05,135,22.060,0.85,147,22.060,0.85,147
